1	16494	4947101
1	23377	7011443
1	23386	7014287
1	72347	21699608
1	23830	7147541
1	23832	7147927
1	23832	7148188
1	23835	7148833
1	23852	7153913
1	24343	7301225
1	24476	7341268
1	26192	7855824
1	26481	7942766
1	26496	7947073
1	26517	7953380
1	30689	9204743
1	30699	9207664
1	30724	9215337
1	30740	9220107
1	30791	9235433
1	31526	9455792
1	31553	9463990
1	43538	13058512
1	43545	13060773
1	45441	13629359
1	45441	13629399
1	36894	11065908
1	36900	11067660
1	50731	15216015
1	51238	15368372
1	51240	15368858
1	63665	19095591
1	64881	19460293
1	64895	19464404
1	64897	19465155
1	69059	20713408
1	69062	20714273
1	12553	3765097
1	15009	4501522
1	15016	4503875
1	15018	4504365
1	15028	4507441
1	15034	4509132
1	28708	8610488
1	28708	8610495
1	33278	9981323
1	33279	9981533
1	60747	18220417
1	96822	29040734
1	37043	11110620
1	37050	11112562
1	37067	11117889
1	59860	17954471
1	59869	17957083
1	22034	6608866
1	22049	6613126
1	22051	6613816
1	22053	6614397
1	22056	6615445
1	22062	6617206
1	22100	6628539
1	38388	11514099
1	38537	11558638
1	38537	11558736
1	38780	11631646
1	38804	11638891
1	38805	11638917
1	52441	15729137
1	52464	15735899
1	62248	18670675
1	94056	28211184
1	94103	28225012
1	65996	19794767
1	66025	19803428
1	66041	19808150
1	66362	19904643
1	69732	20915410
1	1687	505828
1	2126	637644
1	7399	2219227
1	7400	2219439
1	7408	2221968
1	7418	2224977
1	9671	2900590
1	10177	3052500
1	25134	7538405
1	32950	9882960
1	27066	8118152
1	27071	8119546
1	31188	9354431
1	31215	9362409
1	37083	11122571
1	36963	11086415
1	38963	11686439
1	36915	11072060
1	36917	11072713
1	36937	11078761
1	36939	11079237
1	47550	14262144
1	50418	15122263
1	51433	15426815
1	53419	16022328
1	54694	16404738
1	54694	16404963
1	72392	21713163
1	76219	22861000
1	90368	27104813
1	90906	27266158
1	90917	27269526
1	42	12505
1	43	12652
1	68	20219
1	76	22651
1	608	182264
1	67	19810
1	605	181349
1	1191	357039
1	1717	514724
1	11695	3507727
1	13083	3923936
1	30198	9057356
1	68452	20531484
1	54266	16276313
1	54268	16276990
1	54268	16277064
1	60581	18170593
1	60594	18174497
1	60595	18174878
1	67683	20300602
1	6989	2096227
1	13310	3992003
1	36416	10922479
1	41020	12303414
1	53924	16173865
1	56416	16921245
1	70528	21153926
1	14432	4328514
1	30726	9215811
1	12664	3798397
1	15084	4524147
1	36323	10894723
1	11061	3317486
1	11071	3320437
1	11078	3322549
1	36829	11046238
1	36829	11046244
1	38873	11659374
1	54073	16218638
1	54077	16219768
1	54948	16481117
1	54948	16481155
1	54975	16489110
1	57234	17166523
1	58233	17466394
1	58239	17468274
1	36224	10864905
1	36236	10868672
1	36306	10889549
1	8117	2434582
1	13803	4139957
1	13805	4140593
1	13833	4148865
1	13833	4149077
1	22280	6682554
1	22306	6690318
1	27719	8314042
1	28583	8573197
1	29659	8895904
1	30378	9111450
1	75376	22608291
1	75377	22608403
1	93295	27982955
1	94821	28440653
1	1306	391631
1	2016	604446
1	14772	4430626
1	14990	4495905
1	41073	12319257
1	14984	4494178
1	39010	11700610
1	39012	11701019
1	41106	12329276
1	41108	12329764
1	53237	15967868
1	61364	18405431
1	61372	18407890
1	3112	933492
1	8169	2450102
1	6487	1945688
1	7116	2134266
1	7123	2136468
1	7124	2136730
1	7138	2140818
1	6710	2012304
1	6779	2033141
1	7368	2209790
1	7635	2289980
1	7727	2317547
1	26434	7928484
1	26450	7933242
1	26464	7937648
1	30541	9160273
1	30547	9162264
1	30576	9170859
1	90222	27061200
1	36632	10987476
1	51884	15561937
1	52337	15697969
1	53158	15944020
1	59099	17726091
1	59406	17818006
1	60757	18223373
1	60762	18224912
1	63398	19015410
1	64063	19214837
1	69211	20759000
1	69211	20759079
1	9520	2855253
1	10020	3005272
1	16542	4961444
1	15461	4637111
1	28711	8611321
1	28772	8629621
1	28772	8629870
1	28723	8615157
1	28754	8624345
1	29917	8973183
1	29918	8973560
1	38450	11532582
1	38456	11534397
1	38491	11544773
1	46661	13995441
1	46665	13996552
1	46665	13996561
1	46685	14002580
1	59569	17867061
1	59593	17874319
1	68528	20554065
1	74395	22313827
1	71060	21313505
1	71064	21314934
1	72493	21743530
1	72526	21753352
1	72565	21765038
1	93198	27953709
1	186	55594
1	69860	20953673
1	72165	21645034
1	72169	21646324
1	75890	22762247
1	13863	4157973
1	13875	4161619
1	13876	4161917
1	76612	22978850
1	76612	22979029
1	24155	7245073
1	25742	7721076
1	25743	7721164
1	30342	9100516
1	30350	9103088
1	37863	11356550
1	45066	13517021
1	45070	13518134
1	45076	13519819
1	45078	13520513
1	53487	16042681
1	53681	16100893
1	53683	16101414
1	53683	16101690
1	59556	17863034
1	22177	6651771
1	22179	6652332
1	22682	6803226
1	59560	17864334
1	59565	17865855
1	26792	8035838
1	26813	8042197
1	26954	8084519
1	26959	8086094
1	27626	8286180
1	9955	2985853
1	1633	489688
1	3347	1003741
1	3354	1005969
1	3361	1007960
1	3385	1015258
1	5639	1691182
1	17130	5137864
1	17130	5137896
1	17130	5137960
1	17143	5141644
1	17539	5260571
1	20308	6091038
1	20308	6091184
1	20318	6093934
1	20318	6093953
1	20334	6098838
1	20336	6099519
1	20362	6107261
1	21632	6488329
1	21634	6488754
1	21639	6490239
1	21644	6491932
1	21675	6500908
1	36751	11023047
1	62281	18680361
1	62287	18682247
1	71005	21297265
1	71059	21313299
1	92081	27618628
1	35513	10651595
1	35544	10661078
1	41382	12411918
1	41447	12431592
1	43458	13034765
1	43479	13040828
1	71386	21411330
1	71386	21411414
1	71390	21412796
1	71403	21416630
1	71407	21417713
